ID,DOX,x0,x1
215,2,0.0834343,1.30433
216,2,0.0835883,1.38582
217,2,0.0837504,1.4673
218,2,0.0839212,1.54878
219,2,0.0841015,1.63026
220,2,0.084292,1.71172
221,2,0.0844936,1.79318
222,2,0.0847071,1.87464
223,2,0.0849333,1.95609
224,2,0.0851734,2.03753
225,2,0.0854283,2.11896
226,2,0.0856992,2.20039
227,2,0.0859872,2.28182
228,2,0.0862938,2.36323
229,2,0.0866203,2.44464
230,2,0.0869684,2.52605
231,2,0.0873397,2.60745
232,2,0.0877362,2.68885
233,2,0.0881599,2.77025
234,2,0.0886132,2.85165
235,2,0.0890988,2.93305
236,2,0.0896196,3.01446
237,2,0.0901792,3.09588
238,2,0.0907815,3.17732
239,2,0.0914313,3.25878
240,2,0.0921344,3.34027
241,2,0.0928977,3.42181
242,2,0.0937304,3.50341
243,2,0.0946442,3.58512
244,2,0.0956556,3.66697
245,2,0.096789,3.74905
246,2,0.0980835,3.83153
247,2,0.0996105,3.91476
248,2,0.101521,3.99958
249,2,0.104199,4.08838
250,2,0.107959,4.17889
251,2,0.112942,4.27016
252,2,0.119217,4.3618
253,2,0.126823,4.4536
254,2,0.135783,4.54544
255,2,0.146111,4.63724
256,2,0.157818,4.72895
257,2,0.170909,4.82052
258,2,0.185388,4.91192
259,2,0.201257,5.00312
260,2,0.218516,5.09408
261,2,0.237165,5.18478
262,2,0.257202,5.27519
263,2,0.278625,5.36529
264,2,0.301431,5.45505
265,2,0.325615,5.54445
266,2,0.351175,5.63346
267,2,0.378104,5.72206
268,2,0.406398,5.81023
269,2,0.436051,5.89795
270,2,0.467056,5.9852
271,2,0.499407,6.07195
272,2,0.533096,6.15818
273,2,0.568117,6.24387
274,2,0.604462,6.329
275,2,0.642121,6.41355
276,2,0.681087,6.49749
277,2,0.72135,6.58082
278,2,0.762902,6.6635
279,2,0.805732,6.74552
280,2,0.84983,6.82685
281,2,0.895187,6.90749
282,2,0.941791,6.9874
283,2,0.989632,7.06658
284,2,1.0387,7.14499
285,2,1.08898,7.22262
286,2,1.14046,7.29946
287,2,1.19313,7.37548
288,2,1.24698,7.45067
289,2,1.30199,7.525
290,2,1.35815,7.59846
291,2,1.41545,7.67104
292,2,1.47387,7.74271
293,2,1.53341,7.81346
294,2,1.59404,7.88327
295,2,1.65575,7.95212
296,2,1.71853,8.02
297,2,1.78236,8.08689
298,2,1.84722,8.15278
299,2,1.91311,8.21764
300,2,1.98,8.28147
301,2,2.04788,8.34425
302,2,2.11673,8.40596
303,2,2.18654,8.46659
304,2,2.25729,8.52612
305,2,2.32896,8.58455
306,2,2.40154,8.64185
307,2,2.475,8.69801
308,2,2.54933,8.75302
309,2,2.62452,8.80687
310,2,2.70054,8.85954
311,2,2.77738,8.91102
312,2,2.85501,8.9613
313,2,2.93342,9.01037
314,2,3.0126,9.05821
315,2,3.09251,9.10481
316,2,3.17314,9.15017
317,2,3.25448,9.19427
318,2,3.3365,9.2371
319,2,3.41918,9.27865
320,2,3.50251,9.31891
321,2,3.58645,9.35788
322,2,3.671,9.39554
323,2,3.75613,9.43188
324,2,3.84182,9.4669
325,2,3.92805,9.50059
326,2,4.0148,9.53294
327,2,4.10204,9.56395
328,2,4.18976,9.5936
329,2,4.27794,9.6219
330,2,4.36654,9.64882
331,2,4.45555,9.67438
332,2,4.54495,9.69857
333,2,4.63471,9.72137
334,2,4.72481,9.7428
335,2,4.81522,9.76283
336,2,4.90592,9.78148
337,2,4.99688,9.79874
338,2,5.08808,9.81461
339,2,5.17948,9.82909
340,2,5.27105,9.84218
341,2,5.36276,9.85389
342,2,5.45456,9.86422
343,2,5.5464,9.87318
344,2,5.6382,9.88078
345,2,5.72984,9.88706
346,2,5.82111,9.89204
347,2,5.91162,9.8958
348,2,6.00042,9.89848
349,2,6.08524,9.90039
350,2,6.16847,9.90192
351,2,6.25095,9.90321
352,2,6.33303,9.90434
353,2,6.41488,9.90536
354,2,6.49659,9.90627
355,2,6.57819,9.9071
356,2,6.65973,9.90787
357,2,6.74122,9.90857
358,2,6.82268,9.90922
359,2,6.90412,9.90982
360,2,6.98554,9.91038
361,2,7.06695,9.9109
362,2,7.14835,9.91139
363,2,7.22975,9.91184
364,2,7.31115,9.91226
365,2,7.39255,9.91266
366,2,7.47395,9.91303
367,2,7.55536,9.91338
368,2,7.63677,9.91371
369,2,7.71818,9.91401
370,2,7.79961,9.9143
371,2,7.88104,9.91457
372,2,7.96247,9.91483
373,2,8.04391,9.91507
374,2,8.12536,9.91529
375,2,8.20681,9.91551
376,2,8.28828,9.91571
377,2,8.36974,9.9159
378,2,8.45122,9.91608
379,2,8.5327,9.91625
380,2,8.61418,9.91641
381,2,8.69567,9.91657
382,2,8.77717,9.91671
383,2,8.85867,9.91685
384,2,8.94017,9.91699
385,2,9.02168,9.91711
386,2,9.10319,9.91724
387,2,9.18471,9.91735
388,2,9.26623,9.91747
389,2,9.34775,9.91758
390,2,9.42927,9.91768
391,2,9.5108,9.91779
392,2,9.59233,9.91789
393,2,9.67386,9.91799
394,2,9.7554,9.91808
395,2,9.83693,9.91818
396,2,9.91846,9.91827
397,2,10,9.91837
398,2,0.163265,0
399,2,0.163453,0.0814384
400,2,0.163642,0.162876
401,2,0.163833,0.244312
402,2,0.164027,0.325745
403,2,0.164224,0.407176
404,2,0.164425,0.488603
405,2,0.164631,0.570026
406,2,0.164843,0.651445
407,2,0.165061,0.732858
408,2,0.165287,0.814265
409,2,0.165522,0.895665
410,2,0.165765,0.977059
411,2,0.16602,1.05844
412,2,0.166285,1.13982
413,2,0.166563,1.22119
414,2,0.166855,1.30255
415,2,0.167161,1.3839
416,2,0.167484,1.46523
417,2,0.167824,1.54656
418,2,0.168182,1.62788
419,2,0.168561,1.70918
420,2,0.168962,1.79047
421,2,0.169386,1.87175
422,2,0.169836,1.95301
423,2,0.170312,2.03426
424,2,0.170818,2.1155
425,2,0.171356,2.19673
426,2,0.171928,2.27794
427,2,0.172536,2.35914
428,2,0.173184,2.44033
